Transit_ID,City,State,Route_ID,Transport_Mode,Source,Destination,Passenger_Count,Demand,Vehicle_Capacity,Traffic_Status,Traffic_Speed_kmh,Delay_Minutes,Fare_INR,Travel_Time_Min,Weather_Condition,Date,On_Time,On_Time_Status,Point,Path_Order,Latitude,Longitude
TR-0442,Delhi,Delhi,R-007,Metro,East,North,,,,High,,,,,Hazy,2026-03-17 13:47:00,,,Destination,2,28.668728,77.21399
TR-0120,Lucknow,Uttar Pradesh,R-008,Auto,West,Central,615,Low,3,Moderate,45,8,40.63,56.72,Hazy,2026-06-06 10:56:00,0,Delayed,Source,1,26.828363,80.886289
TR-0200,Indore,Madhya Pradesh,R-008,Taxi,North,Central,373,High,4,Moderate,44,22,56.84,59.7,Clear,2026-03-01 13:12:00,0,Delayed,Source,1,22.764292,75.877463
TR-0360,Coimbatore,Tamil Nadu,R-008,Taxi,North,Central,527,Low,4,Moderate,38,10,77.42,23.08,Clear,2026-07-13 14:45:00,0,Delayed,Source,1,11.074298,76.952966
TR-0485,Jaipur,Rajasthan,R-008,Taxi,North,South,318,Medium,4,Moderate,40,8,10.89,42.28,Clear,2026-06-19 11:16:00,0,Delayed,Source,1,26.976357,75.795922
TR-0120,Lucknow,Uttar Pradesh,R-008,Auto,West,Central,,,,Moderate,,,,,Hazy,2026-06-06 10:56:00,,,Destination,2,26.840411,80.948028
TR-0200,Indore,Madhya Pradesh,R-008,Taxi,North,Central,,,,Moderate,,,,,Clear,2026-03-01 13:12:00,,,Destination,2,22.699621,75.874742
TR-0360,Coimbatore,Tamil Nadu,R-008,Taxi,North,Central,,,,Moderate,,,,,Clear,2026-07-13 14:45:00,,,Destination,2,11.037536,76.943969
TR-0485,Jaipur,Rajasthan,R-008,Taxi,North,South,,,,Moderate,,,,,Clear,2026-06-19 11:16:00,,,Destination,2,26.87854,75.791983
TR-0020,Hyderabad,Telangana,R-009,Taxi,North,East,259,High,4,Severe,5,17,90.27,13.06,Clear,2026-06-14 05:18:00,0,Delayed,Source,1,17.43161,78.496594
TR-0081,Nagpur,Maharashtra,R-009,Auto,East,North,757,Medium,3,Moderate,39,8,71.93,29.07,Clear,2026-04-07 09:49:00,0,Delayed,Source,1,21.147557,79.137701
TR-0100,Chennai,Tamil Nadu,R-009,Bus,Central,South,167,Medium,53,Low,65,2,15.32,54.44,Rain,2026-05-14 22:58:00,1,On Time,Source,1,13.071622,80.276746
TR-0263,Coimbatore,Tamil Nadu,R-009,Metro,West,Central,294,Medium,568,Moderate,39,16,32.76,8.7,Clear,2026-03-03 17:13:00,0,Delayed,Source,1,11.012858,76.896111
TR-0434,Chennai,Tamil Nadu,R-009,Bus,West,South,608,Low,55,Moderate,40,17,19.54,11.17,Hazy,2026-01-10 08:12:00,0,Delayed,Source,1,13.084629,80.227305
TR-0486,Hyderabad,Telangana,R-009,Metro,North,Central,37,High,989,High,16,29,40.2,22.89,Hazy,2026-04-08 10:30:00,0,Delayed,Source,1,17.472868,78.487257
TR-0489,Jaipur,Rajasthan,R-009,Taxi,West,North,402,Low,4,Severe,15,21,18.93,54.99,Rain,2026-08-04 16:19:00,0,Delayed,Source,1,26.904427,75.716497
TR-0496,Hyderabad,Telangana,R-009,Bus,East,West,141,Medium,43,Moderate,33,15,68.97,32.9,Clear,2026-02-28 12:40:00,0,Delayed,Source,1,17.384668,78.531433
TR-0020,Hyderabad,Telangana,R-009,Taxi,North,East,,,,Severe,,,,,Clear,2026-06-14 05:18:00,,,Destination,2,17.36992,78.562945
TR-0081,Nagpur,Maharashtra,R-009,Auto,East,North,,,,Moderate,,,,,Clear,2026-04-07 09:49:00,,,Destination,2,21.209588,79.08334
TR-0100,Chennai,Tamil Nadu,R-009,Bus,Central,South,,,,Low,,,,,Rain,2026-05-14 22:58:00,,,Destination,2,13.038114,80.256163
TR-0263,Coimbatore,Tamil Nadu,R-009,Metro,West,Central,,,,Moderate,,,,,Clear,2026-03-03 17:13:00,,,Destination,2,11.014234,76.971553
TR-0434,Chennai,Tamil Nadu,R-009,Bus,West,South,,,,Moderate,,,,,Hazy,2026-01-10 08:12:00,,,Destination,2,13.037225,80.254519
TR-0486,Hyderabad,Telangana,R-009,Metro,North,Central,,,,High,,,,,Hazy,2026-04-08 10:30:00,,,Destination,2,17.405805,78.500661
TR-0489,Jaipur,Rajasthan,R-009,Taxi,West,North,,,,Severe,,,,,Rain,2026-08-04 16:19:00,,,Destination,2,26.978769,75.786191
TR-0496,Hyderabad,Telangana,R-009,Bus,East,West,,,,Moderate,,,,,Clear,2026-02-28 12:40:00,,,Destination,2,17.376758,78.437527
TR-0188,Visakhapatnam,Andhra Pradesh,R-010,Train,West,East,593,Very High,1616,Low,56,13,18.09,38.05,Cloudy,2026-06-11 11:21:00,0,Delayed,Source,1,17.685073,83.17678
TR-0195,Kochi,Kerala,R-010,Metro,West,North,530,Low,668,High,20,24,64.16,37.0,Cloudy,2026-02-21 00:00:00,0,Delayed,Source,1,9.919564,76.225025
TR-0233,Delhi,Delhi,R-010,Bus,South,West,827,Very High,47,Moderate,43,22,78.99,58.15,Cloudy,2026-08-06 03:32:00,0,Delayed,Source,1,28.573031,77.196449
TR-0249,Delhi,Delhi,R-010,Bus,Central,East,539,Low,46,Severe,5,6,74.38,19.91,Rain,2026-03-10 09:08:00,0,Delayed,Source,1,28.633179,77.198229
TR-0260,Indore,Madhya Pradesh,R-010,Bus,South,West,267,Medium,43,Moderate,40,10,36.3,21.21,Cloudy,2026-06-27 22:06:00,0,Delayed,Source,1,22.669648,75.840765
TR-0351,Indore,Madhya Pradesh,R-010,Bus,East,North,113,Low,57,High,19,30,57.05,21.04,Clear,2026-08-03 07:02:00,0,Delayed,Source,1,22.730915,75.907703
TR-0188,Visakhapatnam,Andhra Pradesh,R-010,Train,West,East,,,,Low,,,,,Cloudy,2026-06-11 11:21:00,,,Destination,2,17.696091,83.294972
TR-0195,Kochi,Kerala,R-010,Metro,West,North,,,,High,,,,,Cloudy,2026-02-21 00:00:00,,,Destination,2,10.00436,76.295078
TR-0233,Delhi,Delhi,R-010,Bus,South,West,,,,Moderate,,,,,Cloudy,2026-08-06 03:32:00,,,Destination,2,28.59765,77.135031
TR-0249,Delhi,Delhi,R-010,Bus,Central,East,,,,Severe,,,,,Rain,2026-03-10 09:08:00,,,Destination,2,28.619908,77.279212
TR-0260,Indore,Madhya Pradesh,R-010,Bus,South,West,,,,Moderate,,,,,Cloudy,2026-06-27 22:06:00,,,Destination,2,22.720174,75.802716
TR-0351,Indore,Madhya Pradesh,R-010,Bus,East,North,,,,High,,,,,Clear,2026-08-03 07:02:00,,,Destination,2,22.774624,75.886094
TR-0078,Indore,Madhya Pradesh,R-011,Bus,North,South,278,High,49,Moderate,34,17,15.2,43.23,Clear,2026-08-03 18:08:00,0,Delayed,Source,1,22.739941,75.871219
TR-0113,Pune,Maharashtra,R-011,Bus,Central,East,324,Very High,74,High,29,3,46.16,59.66,Hazy,2026-03-23 07:21:00,1,On Time,Source,1,18.510947,73.84925
TR-0198,Nagpur,Maharashtra,R-011,Metro,East,North,974,Low,863,Moderate,41,3,27.95,19.55,Cloudy,2026-04-03 23:21:00,1,On Time,Source,1,21.147701,79.138363
TR-0266,Surat,Gujarat,R-011,Bus,Central,South,539,High,51,High,25,6,91.92,13.49,Hazy,2026-04-14 19:45:00,0,Delayed,Source,1,21.170203,72.850917
TR-0379,Visakhapatnam,Andhra Pradesh,R-011,Metro,West,East,673,High,1145,Moderate,36,28,49.71,5.99,Clear,2026-05-20 20:09:00,0,Delayed,Source,1,17.68388,83.193985
TR-0078,Indore,Madhya Pradesh,R-011,Bus,North,South,,,,Moderate,,,,,Clear,2026-08-03 18:08:00,,,Destination,2,22.668,75.838181
TR-0113,Pune,Maharashtra,R-011,Bus,Central,East,,,,High,,,,,Hazy,2026-03-23 07:21:00,,,Destination,2,18.528382,73.906035
TR-0198,Nagpur,Maharashtra,R-011,Metro,East,North,,,,Moderate,,,,,Cloudy,2026-04-03 23:21:00,,,Destination,2,21.224699,79.088215
TR-0266,Surat,Gujarat,R-011,Bus,Central,South,,,,High,,,,,Hazy,2026-04-14 19:45:00,,,Destination,2,21.117897,72.808892
TR-0379,Visakhapatnam,Andhra Pradesh,R-011,Metro,West,East,,,,Moderate,,,,,Clear,2026-05-20 20:09:00,,,Destination,2,17.69762,83.293905
TR-0394,Hyderabad,Telangana,R-012,Metro,Central,East,354,Very High,961,Moderate,34,25,18.79,5.82,Clear,2026-05-09 10:27:00,0,Delayed,Source,1,17.384592,78.499291
TR-0394,Hyderabad,Telangana,R-012,Metro,Central,East,,,,Moderate,,,,,Clear,2026-05-09 10:27:00,,,Destination,2,17.386828,78.544239
TR-0070,Delhi,Delhi,R-013,Bus,South,North,694,High,46,Moderate,39,30,73.81,10.88,Cloudy,2026-07-08 09:55:00,0,Delayed,Source,1,28.565169,77.201482
TR-0122,Chennai,Tamil Nadu,R-013,Taxi,East,South,379,High,4,Moderate,32,3,86.53,16.66,Clear,2026-06-15 10:53:00,1,On Time,Source,1,13.119594,80.320777
TR-0137,Coimbatore,Tamil Nadu,R-013,Auto,South,Central,913,High,3,High,19,15,82.0,35.4,Hazy,2026-03-21 10:09:00,0,Delayed,Source,1,10.961077,76.951258
TR-0202,Nagpur,Maharashtra,R-013,Bus,West,North,838,Very High,78,Low,52,4,18.73,14.85,Rain,2026-03-23 01:09:00,1,On Time,Source,1,21.132174,79.001962
TR-0217,Pune,Maharashtra,R-013,Train,North,East,308,Medium,1779,High,30,23,82.22,23.77,Clear,2026-06-20 06:41:00,0,Delayed,Source,1,18.575807,73.854198
TR-0256,Kolkata,West Bengal,R-013,Bus,East,West,608,Medium,42,High,30,23,98.48,32.17,Cloudy,2026-07-01 05:25:00,0,Delayed,Source,1,22.599036,88.405867
TR-0070,Delhi,Delhi,R-013,Bus,South,North,,,,Moderate,,,,,Cloudy,2026-07-08 09:55:00,,,Destination,2,28.698369,77.230747
TR-0122,Chennai,Tamil Nadu,R-013,Taxi,East,South,,,,Moderate,,,,,Clear,2026-06-15 10:53:00,,,Destination,2,12.998597,80.260338
TR-0137,Coimbatore,Tamil Nadu,R-013,Auto,South,Central,,,,High,,,,,Hazy,2026-03-21 10:09:00,,,Destination,2,11.02609,76.943783
TR-0202,Nagpur,Maharashtra,R-013,Bus,West,North,,,,Low,,,,,Rain,2026-03-23 01:09:00,,,Destination,2,21.196464,79.09743
TR-0217,Pune,Maharashtra,R-013,Train,North,East,,,,High,,,,,Clear,2026-06-20 06:41:00,,,Destination,2,18.515598,73.893824
TR-0256,Kolkata,West Bengal,R-013,Bus,East,West,,,,High,,,,,Cloudy,2026-07-01 05:25:00,,,Destination,2,22.577665,88.32025
TR-0005,Ahmedabad,Gujarat,R-014,Bus,South,West,571,High,65,Low,58,6,13.64,44.09,Cloudy,2026-02-11 12:50:00,0,Delayed,Source,1,22.985127,72.547913
TR-0247,Pune,Maharashtra,R-014,Bus,East,South,979,Medium,74,High,29,27,72.11,51.06,Hazy,2026-06-02 11:01:00,0,Delayed,Source,1,18.539747,73.910605
TR-0323,Mumbai,Maharashtra,R-014,Metro,South,Central,423,Low,1034,Moderate,32,30,29.93,49.31,Hazy,2026-05-08 00:48:00,0,Delayed,Source,1,19.009464,72.839924
TR-0386,Ahmedabad,Gujarat,R-014,Bus,South,West,781,Low,53,High,26,0,80.71,42.04,Hazy,2026-06-26 18:54:00,1,On Time,Source,1,22.962735,72.560902
TR-0005,Ahmedabad,Gujarat,R-014,Bus,South,West,,,,Low,,,,,Cloudy,2026-02-11 12:50:00,,,Destination,2,23.0239,72.537118
TR-0247,Pune,Maharashtra,R-014,Bus,East,South,,,,High,,,,,Hazy,2026-06-02 11:01:00,,,Destination,2,18.452101,73.865829
TR-0323,Mumbai,Maharashtra,R-014,Metro,South,Central,,,,Moderate,,,,,Hazy,2026-05-08 00:48:00,,,Destination,2,19.099924,72.86636
TR-0386,Ahmedabad,Gujarat,R-014,Bus,South,West,,,,High,,,,,Hazy,2026-06-26 18:54:00,,,Destination,2,22.999312,72.53796
TR-0034,Jaipur,Rajasthan,R-015,Bus,South,Central,773,High,77,High,22,0,30.9,54.48,Rain,2026-07-13 13:52:00,1,On Time,Source,1,26.862133,75.772248
TR-0056,Indore,Madhya Pradesh,R-015,E-Rickshaw,West,Central,1000,Very High,5,Severe,7,1,29.18,6.71,Clear,2026-01-24 11:17:00,1,On Time,Source,1,22.723062,75.818427
TR-0164,Visakhapatnam,Andhra Pradesh,R-015,Bus,West,Central,250,High,56,High,17,14,58.42,51.21,Clear,2026-02-01 08:39:00,0,Delayed,Source,1,17.680557,83.163048
TR-0178,Mumbai,Maharashtra,R-015,Bus,West,North,211,Low,70,Severe,6,10,33.61,22.22,Cloudy,2026-01-08 06:55:00,0,Delayed,Source,1,19.079888,72.838139
TR-0225,Delhi,Delhi,R-015,Metro,West,East,553,Medium,704,High,25,27,30.43,45.91,Hazy,2026-01-26 13:27:00,0,Delayed,Source,1,28.583123,77.148632
TR-0362,Nagpur,Maharashtra,R-015,Bus,Central,North,885,Low,77,High,25,0,71.18,38.5,Clear,2026-06-06 22:44:00,1,On Time,Source,1,21.158843,79.080076
TR-0390,Indore,Madhya Pradesh,R-015,Bus,South,East,670,Low,60,Moderate,38,20,45.1,27.36,Clear,2026-07-04 09:46:00,0,Delayed,Source,1,22.678893,75.845938
TR-0395,Jaipur,Rajasthan,R-015,Metro,Central,East,270,High,893,Moderate,35,10,64.38,50.49,Clear,2026-04-11 03:12:00,0,Delayed,Source,1,26.917664,75.793167
TR-0487,Kochi,Kerala,R-015,E-Rickshaw,North,Central,572,Very High,5,Severe,11,6,68.82,51.1,Cloudy,2026-04-28 11:17:00,0,Delayed,Source,1,9.981568,76.266311
TR-0034,Jaipur,Rajasthan,R-015,Bus,South,Central,,,,High,,,,,Rain,2026-07-13 13:52:00,,,Destination,2,26.915877,75.812205
TR-0056,Indore,Madhya Pradesh,R-015,E-Rickshaw,West,Central,,,,Severe,,,,,Clear,2026-01-24 11:17:00,,,Destination,2,22.716931,75.843936
TR-0164,Visakhapatnam,Andhra Pradesh,R-015,Bus,West,Central,,,,High,,,,,Clear,2026-02-01 08:39:00,,,Destination,2,17.705349,83.20951
TR-0178,Mumbai,Maharashtra,R-015,Bus,West,North,,,,Severe,,,,,Cloudy,2026-01-08 06:55:00,,,Destination,2,19.129014,72.879547
TR-0225,Delhi,Delhi,R-015,Metro,West,East,,,,High,,,,,Hazy,2026-01-26 13:27:00,,,Destination,2,28.612769,77.276831
