Trip_ID,RouteID,StopID,Timestamp,Mode of Transport,Distance Traveled (In Miles),Frequency(Per Week),Start Location,End Location,Fuel Type,Fuel Efficiency,Monthly Emissions (kg CO2)
T50,H33C,12757,3/1/2024 4:05,Car,21,1,"Nagercoil, Tamil Nadu, India","Coimbatore, Tamil Nadu, India",gasoline,20,36.96
T51,H20,13813,3/1/2024 4:10,Car,14,3,"Nagapattinam, Tamil Nadu, India","Kanchipuram, Tamil Nadu, India",gasoline,23,64.28
T52,178F,13103,3/1/2024 4:15,Car,13,4,"Tiruppur, Tamil Nadu, India","Cuddalore, Tamil Nadu, India",gasoline,21,87.16
T53,144,13943,3/1/2024 4:20,Car,8,2,"Cuddalore, Tamil Nadu, India","Erode, Tamil Nadu, India",gasoline,26,21.66
T54,400,10330,3/1/2024 4:25,Bike,23,3,"Chennai, Tamil Nadu, India","Namakkal, Tamil Nadu, India",electric,30,80.96
T55,190,13853,3/1/2024 4:30,Bike,9,1,"Chennai, Tamil Nadu, India","Thoothukudi, Tamil Nadu, India",gasoline,24,13.2
T56,H33,16406,3/1/2024 4:35,Bike,23,2,"Dindigul, Tamil Nadu, India","Thanjavur, Tamil Nadu, India",gasoline,23,70.4
T57,H30C,17340,3/1/2024 4:40,Bike,16,1,"Erode, Tamil Nadu, India","Thanjavur, Tamil Nadu, India",electric,23,24.49
T58,142,13679,3/1/2024 4:45,Car,6,1,"Tirunelveli, Tamil Nadu, India","Sivakasi, Tamil Nadu, India",electric,20,10.56
T59,281,12936,3/1/2024 4:50,Bike,19,1,"Thanjavur, Tamil Nadu, India","Vellore, Tamil Nadu, India",electric,23,29.08
T60,228X,13003,3/1/2024 4:55,Car,11,3,"Thoothukudi, Tamil Nadu, India","Nagapattinam, Tamil Nadu, India",electric,27,43.02
T61,224,10432,3/1/2024 5:00,Car,23,1,"Madurai, Tamil Nadu, India","Tiruppur, Tamil Nadu, India",gasoline,22,36.8
T62,H30,12099,3/1/2024 5:05,Bike,6,5,"Karur, Tamil Nadu, India","Tiruppur, Tamil Nadu, India",electric,30,35.2
T63,400,10503,3/1/2024 5:10,Bike,15,5,"Dindigul, Tamil Nadu, India","Kanchipuram, Tamil Nadu, India",gasoline,30,88.0
T64,W90,12290,3/1/2024 5:15,Car,9,3,"Erode, Tamil Nadu, India","Vellore, Tamil Nadu, India",electric,23,41.32
T65,203F,12958,3/1/2024 5:20,Car,8,5,"Namakkal, Tamil Nadu, India","Dindigul, Tamil Nadu, India",gasoline,25,56.32
T66,228,11444,3/1/2024 5:25,Car,9,3,"Kanchipuram, Tamil Nadu, India","Tirunelveli, Tamil Nadu, India",electric,25,38.02
T67,C2X,17388,3/1/2024 5:30,Car,21,3,"Sivakasi, Tamil Nadu, India","Vellore, Tamil Nadu, India",electric,28,79.2
T68,224F,13049,3/1/2024 5:35,Car,23,4,"Coimbatore, Tamil Nadu, India","Kanchipuram, Tamil Nadu, India",electric,24,134.93
T69,203F,11481,3/1/2024 5:40,Car,8,3,"Erode, Tamil Nadu, India","Nagapattinam, Tamil Nadu, India",gasoline,29,29.13
T70,288,13153,3/1/2024 5:45,Car,6,3,"Hosur, Tamil Nadu, India","Kanchipuram, Tamil Nadu, India",gasoline,30,21.12
T71,M44G,13277,3/1/2024 5:50,Bike,9,2,"Karur, Tamil Nadu, India","Sivakasi, Tamil Nadu, India",electric,27,23.47
T72,T863,14040,3/1/2024 5:55,Car,25,1,"Cuddalore, Tamil Nadu, India","Tiruchirappalli, Tamil Nadu, India",electric,30,29.33
T73,B10,13096,3/1/2024 6:00,Bike,19,2,"Vellore, Tamil Nadu, India","Karur, Tamil Nadu, India",gasoline,27,49.54
T74,248,13496,3/1/2024 6:05,Car,12,5,"Thanjavur, Tamil Nadu, India","Madurai, Tamil Nadu, India",electric,29,72.83
T75,196,14934,3/1/2024 6:10,Car,7,3,"Sivakasi, Tamil Nadu, India","Kanchipuram, Tamil Nadu, India",electric,27,27.38
T76,208,12796,3/1/2024 6:15,Car,23,3,"Coimbatore, Tamil Nadu, India","Madurai, Tamil Nadu, India",electric,26,93.42
T77,591A,10790,3/1/2024 6:20,Bike,13,4,"Tiruchirappalli, Tamil Nadu, India","Cuddalore, Tamil Nadu, India",gasoline,26,70.4
T78,502,10528,3/1/2024 6:25,Car,7,1,"Vellore, Tamil Nadu, India","Tiruppur, Tamil Nadu, India",electric,29,8.5
T79,M44,11002,3/1/2024 6:30,Car,20,2,"Madurai, Tamil Nadu, India","Coimbatore, Tamil Nadu, India",gasoline,20,70.4
T80,721F,14928,3/1/2024 6:35,Bike,17,4,"Vellore, Tamil Nadu, India","Tiruppur, Tamil Nadu, India",gasoline,24,99.73
T81,224F,16281,3/1/2024 6:40,Bike,15,4,"Hosur, Tamil Nadu, India","Tiruchirappalli, Tamil Nadu, India",gasoline,26,81.23
T82,208N,16580,3/1/2024 6:45,Car,11,4,"Tiruppur, Tamil Nadu, India","Tirunelveli, Tamil Nadu, India",electric,22,70.4
T83,200C,13374,3/1/2024 6:50,Car,15,1,"Tiruchirappalli, Tamil Nadu, India","Kanchipuram, Tamil Nadu, India",electric,25,21.12
T84,719,13910,3/1/2024 6:55,Car,14,4,"Kanchipuram, Tamil Nadu, India","Tiruchirappalli, Tamil Nadu, India",gasoline,28,70.4
T85,500,10836,3/1/2024 7:00,Car,20,5,"Nagercoil, Tamil Nadu, India","Cuddalore, Tamil Nadu, India",electric,26,135.38
T86,168,14187,3/1/2024 7:05,Bike,18,2,"Nagapattinam, Tamil Nadu, India","Salem, Tamil Nadu, India",electric,30,42.24
T87,J1,14361,3/1/2024 7:10,Car,25,5,"Dindigul, Tamil Nadu, India","Hosur, Tamil Nadu, India",gasoline,29,151.72
T88,744,16013,3/1/2024 7:15,Bike,32,2,"Tiruppur, Tamil Nadu, India","Tirunelveli, Tamil Nadu, India",gasoline,23,97.95
T89,720H,17970,3/1/2024 7:20,Car,7,5,"Tiruppur, Tamil Nadu, India","Hosur, Tamil Nadu, India",electric,23,53.57
T90,300,12392,3/1/2024 7:25,Bike,22,4,"Madurai, Tamil Nadu, India","Nagercoil, Tamil Nadu, India",electric,22,140.8
T91,W90,14889,3/1/2024 7:30,Bike,16,2,"Chennai, Tamil Nadu, India","Nagercoil, Tamil Nadu, India",gasoline,28,40.23
T92,719,13775,3/1/2024 7:35,Bike,23,1,"Dindigul, Tamil Nadu, India","Madurai, Tamil Nadu, India",gasoline,27,29.99
T93,178,12306,3/1/2024 7:40,Bike,18,3,"Nagercoil, Tamil Nadu, India","Cuddalore, Tamil Nadu, India",gasoline,22,86.4
T94,C1,13328,3/1/2024 7:45,Car,8,2,"Salem, Tamil Nadu, India","Namakkal, Tamil Nadu, India",electric,27,20.86
T95,190,14281,3/1/2024 7:50,Car,32,2,"Dindigul, Tamil Nadu, India","Kanchipuram, Tamil Nadu, India",electric,29,77.68
T96,543,11068,3/1/2024 7:55,Car,6,4,"Vellore, Tamil Nadu, India","Chennai, Tamil Nadu, India",electric,24,35.2
T97,682,17970,3/1/2024 8:00,Car,15,1,"Dindigul, Tamil Nadu, India","Thanjavur, Tamil Nadu, India",gasoline,28,18.86
T98,142,13490,3/1/2024 8:05,Bike,15,3,"Hosur, Tamil Nadu, India","Tiruppur, Tamil Nadu, India",gasoline,27,58.67
T99,190B,13472,3/1/2024 8:10,Car,23,4,"Namakkal, Tamil Nadu, India","Kanchipuram, Tamil Nadu, India",gasoline,26,124.55
T100,208,13032,3/1/2024 8:15,Car,15,1,"Vellore, Tamil Nadu, India","Karur, Tamil Nadu, India",gasoline,27,19.56
T101,440,17124,3/1/2024 8:20,Car,10,4,"Tiruppur, Tamil Nadu, India","Cuddalore, Tamil Nadu, India",electric,25,56.32
T102,H30,16335,3/1/2024 8:25,Bike,14,3,"Hosur, Tamil Nadu, India","Erode, Tamil Nadu, India",electric,30,49.28
T103,494,18259,3/1/2024 8:30,Car,20,5,"Tirunelveli, Tamil Nadu, India","Nagercoil, Tamil Nadu, India",electric,24,146.67
T104,H30,13371,3/1/2024 8:35,Car,20,4,"Tirunelveli, Tamil Nadu, India","Chennai, Tamil Nadu, India",gasoline,24,117.33
T105,401,10369,3/1/2024 8:40,Car,6,4,"Nagercoil, Tamil Nadu, India","Chennai, Tamil Nadu, India",gasoline,28,30.17
T106,178F,12628,3/1/2024 8:45,Car,8,4,"Madurai, Tamil Nadu, India","Tiruchirappalli, Tamil Nadu, India",gasoline,25,45.06
T107,H22,16367,3/1/2024 8:50,Car,12,1,"Salem, Tamil Nadu, India","Tiruchirappalli, Tamil Nadu, India",gasoline,23,18.37
T108,506,11383,3/1/2024 8:55,Bike,18,3,"Tiruppur, Tamil Nadu, India","Dindigul, Tamil Nadu, India",electric,26,73.11
T109,100,14101,3/1/2024 9:00,Car,20,1,"Namakkal, Tamil Nadu, India","Dindigul, Tamil Nadu, India",gasoline,24,29.33
T110,M44G,14910,3/1/2024 9:05,Car,22,4,"Thanjavur, Tamil Nadu, India","Sivakasi, Tamil Nadu, India",gasoline,29,106.81
T111,720,15378,3/1/2024 9:10,Car,20,3,"Nagapattinam, Tamil Nadu, India","Tiruppur, Tamil Nadu, India",gasoline,24,88.0
T112,190,14402,3/1/2024 9:15,Car,11,1,"Namakkal, Tamil Nadu, India","Tiruchirappalli, Tamil Nadu, India",gasoline,23,16.83
T113,300U,14534,3/1/2024 9:20,Car,5,1,"Dindigul, Tamil Nadu, India","Karur, Tamil Nadu, India",electric,21,8.38
T114,288,13155,3/1/2024 9:25,Car,7,1,"Tirunelveli, Tamil Nadu, India","Nagapattinam, Tamil Nadu, India",electric,22,11.2
T115,241,14218,3/1/2024 9:30,Car,25,2,"Hosur, Tamil Nadu, India","Erode, Tamil Nadu, India",electric,27,65.19
T116,B10,13330,3/1/2024 9:35,Car,21,5,"Salem, Tamil Nadu, India","Thanjavur, Tamil Nadu, India",electric,26,142.15
T117,H30,16419,3/1/2024 9:40,Car,14,3,"Nagapattinam, Tamil Nadu, India","Madurai, Tamil Nadu, India",electric,24,61.6
T118,C1G,12126,3/1/2024 9:45,Bike,21,2,"Tiruchirappalli, Tamil Nadu, India","Dindigul, Tamil Nadu, India",gasoline,27,54.76
T119,230,12319,3/1/2024 9:50,Bike,7,1,"Sivakasi, Tamil Nadu, India","Tiruppur, Tamil Nadu, India",electric,20,12.32
T120,241,13891,3/1/2024 9:55,Car,19,2,"Nagercoil, Tamil Nadu, India","Sivakasi, Tamil Nadu, India",gasoline,20,66.88
T121,228F,10058,3/1/2024 10:00,Car,18,5,"Cuddalore, Tamil Nadu, India","Tirunelveli, Tamil Nadu, India",gasoline,20,158.4
T122,G10,16275,3/1/2024 10:05,Car,17,4,"Dindigul, Tamil Nadu, India","Sivakasi, Tamil Nadu, India",electric,20,119.68
T123,251,12540,3/1/2024 10:10,Bike,16,3,"Nagercoil, Tamil Nadu, India","Cuddalore, Tamil Nadu, India",electric,20,84.48
T124,H33,16450,3/1/2024 10:15,Bike,40,1,"Erode, Tamil Nadu, India","Namakkal, Tamil Nadu, India",electric,29,48.55
T125,M44,14259,3/1/2024 10:20,Car,20,1,"Coimbatore, Tamil Nadu, India","Erode, Tamil Nadu, India",electric,30,23.47
T126,H31C,12874,3/1/2024 10:25,Bike,22,5,"Sivakasi, Tamil Nadu, India","Namakkal, Tamil Nadu, India",electric,26,148.92
T127,400,10232,3/1/2024 10:30,Car,14,4,"Thanjavur, Tamil Nadu, India","Madurai, Tamil Nadu, India",gasoline,21,93.87
T128,230,12859,3/1/2024 10:35,Car,17,4,"Tiruppur, Tamil Nadu, India","Namakkal, Tamil Nadu, India",electric,23,104.07
T129,232,11808,3/1/2024 10:40,Car,24,3,"Madurai, Tamil Nadu, India","Thoothukudi, Tamil Nadu, India",gasoline,22,115.2
T130,229,11136,3/1/2024 10:45,Car,16,5,"Dindigul, Tamil Nadu, India","Sivakasi, Tamil Nadu, India",electric,30,93.87
T131,722F,16002,3/1/2024 10:50,Car,14,3,"Cuddalore, Tamil Nadu, India","Nagercoil, Tamil Nadu, India",gasoline,24,61.6
T132,861,13745,3/1/2024 10:55,Car,12,3,"Nagapattinam, Tamil Nadu, India","Kanchipuram, Tamil Nadu, India",electric,27,46.93
T133,230,12050,3/1/2024 11:00,Bike,19,3,"Madurai, Tamil Nadu, India","Tiruchirappalli, Tamil Nadu, India",electric,22,91.2
T134,H20,16382,3/1/2024 11:05,Car,23,3,"Tirunelveli, Tamil Nadu, India","Salem, Tamil Nadu, India",gasoline,23,105.6
T135,174,12375,3/1/2024 11:10,Car,12,3,"Tiruchirappalli, Tamil Nadu, India","Erode, Tamil Nadu, India",gasoline,29,43.7
T136,224,10222,3/1/2024 11:15,Car,18,3,"Namakkal, Tamil Nadu, India","Thanjavur, Tamil Nadu, India",electric,23,82.64
T137,682,15457,3/1/2024 11:20,Car,10,5,"Karur, Tamil Nadu, India","Erode, Tamil Nadu, India",electric,24,73.33
T138,100,17881,3/1/2024 11:25,Car,1,2,"Coimbatore, Tamil Nadu, India","Cuddalore, Tamil Nadu, India",gasoline,20,3.52
T139,C1,12129,3/1/2024 11:30,Car,14,4,"Tiruppur, Tamil Nadu, India","Cuddalore, Tamil Nadu, India",electric,25,78.85
T140,H21,12302,3/1/2024 11:35,Car,6,1,"Dindigul, Tamil Nadu, India","Tirunelveli, Tamil Nadu, India",electric,27,7.82
T141,190,14385,3/1/2024 11:40,Bike,40,1,"Coimbatore, Tamil Nadu, India","Vellore, Tamil Nadu, India",electric,20,70.4
T142,J1,13353,3/1/2024 11:45,Bike,15,4,"Sivakasi, Tamil Nadu, India","Nagapattinam, Tamil Nadu, India",electric,26,81.23
T143,147,13672,3/1/2024 11:50,Bike,23,1,"Thanjavur, Tamil Nadu, India","Erode, Tamil Nadu, India",electric,30,26.99
T144,W90,14429,3/1/2024 11:55,Bike,11,1,"Tirunelveli, Tamil Nadu, India","Nagercoil, Tamil Nadu, India",electric,21,18.44
T145,H30,17797,3/1/2024 12:00,Car,19,1,"Thanjavur, Tamil Nadu, India","Coimbatore, Tamil Nadu, India",gasoline,22,30.4
T146,451,18120,3/1/2024 12:05,Car,13,2,"Hosur, Tamil Nadu, India","Namakkal, Tamil Nadu, India",gasoline,25,36.61
T147,228,11444,3/1/2024 12:10,Car,24,2,"Tiruchirappalli, Tamil Nadu, India","Chennai, Tamil Nadu, India",gasoline,22,76.8
T148,238,12527,3/1/2024 12:15,Car,25,1,"Nagercoil, Tamil Nadu, India","Erode, Tamil Nadu, India",gasoline,27,32.59
T149,503,11755,3/1/2024 12:20,Car,21,2,"Dindigul, Tamil Nadu, India","Tiruppur, Tamil Nadu, India",electric,30,49.28
T150,141,13408,3/1/2024 12:25,Car,10,5,"Dindigul, Tamil Nadu, India","Tirunelveli, Tamil Nadu, India",gasoline,21,83.81
T151,239,17552,3/1/2024 12:30,Bike,5,2,"Salem, Tamil Nadu, India","Namakkal, Tamil Nadu, India",electric,28,12.57
T152,230,12968,3/1/2024 12:35,Bike,9,4,"Coimbatore, Tamil Nadu, India","Tiruchirappalli, Tamil Nadu, India",electric,22,57.6
T153,224F,17259,3/1/2024 12:40,Car,1,5,"Salem, Tamil Nadu, India","Tirunelveli, Tamil Nadu, India",gasoline,24,7.33
T154,744,16039,3/1/2024 12:45,Car,12,3,"Namakkal, Tamil Nadu, India","Sivakasi, Tamil Nadu, India",electric,20,63.36
T155,251,13091,3/1/2024 12:50,Car,14,1,"Salem, Tamil Nadu, India","Tiruchirappalli, Tamil Nadu, India",electric,27,18.25
T156,720,14956,3/1/2024 12:55,Bike,12,3,"Erode, Tamil Nadu, India","Coimbatore, Tamil Nadu, India",electric,24,52.8
T157,241,14271,3/1/2024 13:00,Bike,5,3,"Coimbatore, Tamil Nadu, India","Hosur, Tamil Nadu, India",gasoline,27,19.56
T158,157,11858,3/1/2024 13:05,Bike,3,1,"Vellore, Tamil Nadu, India","Dindigul, Tamil Nadu, India",gasoline,23,4.59
T159,440,10228,3/1/2024 13:10,Bike,8,2,"Tiruppur, Tamil Nadu, India","Vellore, Tamil Nadu, India",electric,29,19.42
T160,B10,12998,3/1/2024 13:15,Car,25,2,"Tiruppur, Tamil Nadu, India","Thanjavur, Tamil Nadu, India",electric,20,88.0
T161,G10,16289,3/1/2024 13:20,Car,9,4,"Dindigul, Tamil Nadu, India","Vellore, Tamil Nadu, India",gasoline,21,60.34
T162,W90,14430,3/1/2024 13:25,Car,18,4,"Tirunelveli, Tamil Nadu, India","Hosur, Tamil Nadu, India",gasoline,23,110.19
T163,225,17529,3/1/2024 13:30,Car,21,5,"Karur, Tamil Nadu, India","Tiruchirappalli, Tamil Nadu, India",gasoline,21,176.0
T164,G21,15336,3/1/2024 13:35,Car,8,3,"Sivakasi, Tamil Nadu, India","Hosur, Tamil Nadu, India",gasoline,22,38.4
T165,560,10222,3/1/2024 13:40,Car,2,3,"Sivakasi, Tamil Nadu, India","Thoothukudi, Tamil Nadu, India",gasoline,23,9.18
T166,222,11182,3/1/2024 13:45,Car,1,1,"Cuddalore, Tamil Nadu, India","Hosur, Tamil Nadu, India",electric,30,1.17
T167,864,14895,3/1/2024 13:50,Car,23,1,"Erode, Tamil Nadu, India","Nagapattinam, Tamil Nadu, India",gasoline,23,35.2
T168,265,16588,3/1/2024 13:55,Car,18,5,"Dindigul, Tamil Nadu, India","Cuddalore, Tamil Nadu, India",gasoline,26,121.85
T169,230,11919,3/1/2024 14:00,Car,25,3,"Dindigul, Tamil Nadu, India","Chennai, Tamil Nadu, India",electric,23,114.78
T170,190,14446,3/1/2024 14:05,Car,6,5,"Hosur, Tamil Nadu, India","Thoothukudi, Tamil Nadu, India",electric,26,40.62
T171,178,12033,3/1/2024 14:10,Bike,23,3,"Hosur, Tamil Nadu, India","Nagercoil, Tamil Nadu, India",gasoline,26,93.42
T172,861,13802,3/1/2024 14:15,Car,11,1,"Madurai, Tamil Nadu, India","Thanjavur, Tamil Nadu, India",electric,28,13.83
T173,M44,13339,3/1/2024 14:20,Car,12,4,"Madurai, Tamil Nadu, India","Kanchipuram, Tamil Nadu, India",gasoline,24,70.4
T174,W91C,14072,3/1/2024 14:25,Bike,2,1,"Coimbatore, Tamil Nadu, India","Thoothukudi, Tamil Nadu, India",gasoline,21,3.35
T175,G10,14321,3/1/2024 14:30,Bike,6,4,"Chennai, Tamil Nadu, India","Kanchipuram, Tamil Nadu, India",gasoline,26,32.49
T176,560,10441,3/1/2024 14:35,Car,11,2,"Nagapattinam, Tamil Nadu, India","Namakkal, Tamil Nadu, India",gasoline,21,36.88
T177,155,12617,3/1/2024 14:40,Car,6,5,"Nagapattinam, Tamil Nadu, India","Hosur, Tamil Nadu, India",electric,25,42.24
T178,452,18150,3/1/2024 14:45,Bike,23,1,"Sivakasi, Tamil Nadu, India","Thoothukudi, Tamil Nadu, India",gasoline,25,32.38
T179,502,10889,3/1/2024 14:50,Car,17,4,"Coimbatore, Tamil Nadu, India","Thoothukudi, Tamil Nadu, India",electric,24,99.73
T180,225F,12297,3/1/2024 14:55,Car,14,5,"Erode, Tamil Nadu, India","Namakkal, Tamil Nadu, India",gasoline,23,107.13
T181,263,14764,3/1/2024 15:00,Car,21,5,"Karur, Tamil Nadu, India","Madurai, Tamil Nadu, India",electric,28,132.0
T182,178S,12717,3/1/2024 15:05,Car,21,2,"Kanchipuram, Tamil Nadu, India","Thoothukudi, Tamil Nadu, India",electric,27,54.76
T183,B1,13846,3/1/2024 15:10,Car,13,4,"Kanchipuram, Tamil Nadu, India","Tiruchirappalli, Tamil Nadu, India",gasoline,23,79.58
T184,H31C,12990,3/1/2024 15:15,Car,14,3,"Sivakasi, Tamil Nadu, India","Tirunelveli, Tamil Nadu, India",gasoline,24,61.6
T185,720,14970,3/1/2024 15:20,Car,12,4,"Namakkal, Tamil Nadu, India","Kanchipuram, Tamil Nadu, India",electric,28,60.34
T186,200,13721,3/1/2024 15:25,Bike,6,1,"Hosur, Tamil Nadu, India","Nagercoil, Tamil Nadu, India",gasoline,30,7.04
T187,171,13707,3/1/2024 15:30,Car,19,1,"Vellore, Tamil Nadu, India","Thoothukudi, Tamil Nadu, India",electric,25,26.75
T188,168,14134,3/1/2024 15:35,Car,22,5,"Erode, Tamil Nadu, India","Madurai, Tamil Nadu, India",electric,24,161.33
T189,263,14624,3/1/2024 15:40,Car,3,4,"Nagercoil, Tamil Nadu, India","Thanjavur, Tamil Nadu, India",electric,27,15.64
T190,591A,17608,3/1/2024 15:45,Bike,13,3,"Hosur, Tamil Nadu, India","Cuddalore, Tamil Nadu, India",electric,27,50.84
