Weather_ID,Date and time,Summary,Temperature (C),Apparent Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Cloud Cover,Pressure (millibars)
W169,2024-03-01 14:00:00,Overcast,12.266666666666666,12.266666666666666,0.69,14.1358,151,15.826300000000002,0.831,1016.8
W170,2024-03-01 14:05:00,Overcast,11.71111111111111,11.71111111111111,0.71,11.3183,158,15.826300000000002,0.848,1016.64
W171,2024-03-01 14:10:00,Partly Cloudy,10.82777777777778,10.82777777777778,0.86,9.177,259,14.168000000000005,0.747,1013.13
W172,2024-03-01 14:15:00,Overcast,12.2,12.2,0.59,14.168000000000005,141,15.826300000000002,0.806,1014.79
W173,2024-03-01 14:20:00,Overcast,12.2,12.2,0.6,14.296800000000005,151,15.826300000000002,0.775,1014.25
W174,2024-03-01 14:25:00,Overcast,11.688888888888888,11.688888888888888,0.68,13.8299,152,14.9569,0.792,1013.95
W175,2024-03-01 14:30:00,Overcast,11.205555555555556,11.205555555555556,0.77,14.007,132,9.982,0.871,1013.63
W176,2024-03-01 14:35:00,Mostly Cloudy,11.133333333333333,11.133333333333333,0.77,15.4882,150,9.982,0.763,1013.27
W177,2024-03-01 14:40:00,Mostly Cloudy,11.43888888888889,11.43888888888889,0.77,13.8782,163,10.3523,0.815,1013.56
W178,2024-03-01 14:45:00,Mostly Cloudy,13.033333333333337,13.033333333333337,0.81,14.457800000000002,209,9.982,0.776,1012.85
W179,2024-03-01 14:50:00,Mostly Cloudy,17.244444444444444,17.244444444444444,0.62,25.0194,221,11.27,0.646,1012.15
W180,2024-03-01 14:55:00,Mostly Cloudy,17.73888888888889,17.73888888888889,0.53,27.37,230,11.4471,0.614,1011.71
W181,2024-03-01 15:00:00,Overcast,17.84444444444445,17.84444444444445,0.56,22.218000000000004,251,11.27,0.837,1011.28
W182,2024-03-01 15:05:00,Mostly Cloudy,18.86111111111111,18.86111111111111,0.56,23.5382,250,11.27,0.624,1010.99
W183,2024-03-01 15:10:00,Overcast,18.666666666666664,18.666666666666664,0.56,19.8996,240,11.3988,0.765,1010.93
W184,2024-03-01 15:15:00,Overcast,17.82222222222222,17.82222222222222,0.56,17.5007,243,11.27,0.83,1010.7
W185,2024-03-01 15:20:00,Overcast,17.800000000000004,17.800000000000004,0.59,17.693900000000003,281,11.27,0.818,1010.52
W186,2024-03-01 15:25:00,Mostly Cloudy,17.349999999999998,17.349999999999998,0.57,19.5615,295,11.3988,0.686,1010.69
W187,2024-03-01 15:30:00,Mostly Cloudy,16.06666666666667,16.06666666666667,0.67,21.815500000000004,280,11.2056,0.688,1010.86
W188,2024-03-01 15:35:00,Mostly Cloudy,14.933333333333334,14.933333333333334,0.73,17.2753,280,11.2056,0.665,1011.14
W189,2024-03-01 15:40:00,Mostly Cloudy,13.922222222222224,13.922222222222224,0.78,11.7691,279,11.2861,0.687,1011.64
W190,2024-03-01 15:45:00,Mostly Cloudy,12.755555555555556,12.755555555555556,0.84,11.0446,270,11.0768,0.844,1012.02
W191,2024-03-01 15:50:00,Mostly Cloudy,12.755555555555556,12.755555555555556,0.84,11.0607,277,15.697500000000002,0.815,1012.21
W192,2024-03-01 15:55:00,Mostly Cloudy,12.372222222222224,12.372222222222224,0.86,7.293300000000001,239,14.876400000000002,0.756,1012.33
W193,2024-03-01 16:00:00,Mostly Cloudy,11.183333333333334,11.183333333333334,0.93,6.923,241,15.826300000000002,0.78,1012.6
W194,2024-03-01 16:05:00,Mostly Cloudy,11.666666666666666,11.666666666666666,0.9,11.1734,242,15.826300000000002,0.837,1012.8
W195,2024-03-01 16:10:00,Partly Cloudy,8.977777777777776,7.366666666666664,0.95,10.3201,266,6.8425,0.832,1012.66
W196,2024-03-01 16:15:00,Mostly Cloudy,10.577777777777776,10.577777777777776,0.93,11.1734,278,14.9086,0.768,1012.32
W197,2024-03-01 16:20:00,Mostly Cloudy,10.533333333333337,10.533333333333337,0.89,14.007,269,14.9086,0.81,1012.33
W198,2024-03-01 16:25:00,Mostly Cloudy,10.58888888888889,10.58888888888889,0.87,7.293300000000001,269,14.168000000000005,0.763,1012.55
W199,2024-03-01 16:30:00,Mostly Cloudy,9.983333333333333,9.283333333333337,0.89,6.7298,297,15.826300000000002,0.78,1012.71
W200,2024-03-01 16:35:00,Mostly Cloudy,11.022222222222224,11.022222222222224,0.86,7.889000000000001,307,9.982,0.795,1013.01
W201,2024-03-01 16:40:00,Partly Cloudy,13.538888888888888,13.538888888888888,0.75,11.8657,305,9.982,0.751,1013.23
W202,2024-03-01 16:45:00,Partly Cloudy,13.88888888888889,13.88888888888889,0.68,20.0123,308,11.2056,0.749,1013.31
W203,2024-03-01 16:50:00,Partly Cloudy,15.0,15.0,0.67,17.581200000000003,300,11.2056,0.687,1013.4
W204,2024-03-01 16:55:00,Partly Cloudy,17.183333333333334,17.183333333333334,0.57,15.955100000000002,319,11.4471,0.65,1013.27
W205,2024-03-01 17:00:00,Mostly Cloudy,16.2,16.2,0.62,16.309300000000004,309,11.27,0.572,1013.02
W206,2024-03-01 17:05:00,Mostly Cloudy,17.75,17.75,0.56,17.7744,290,11.2056,0.617,1013.03
W207,2024-03-01 17:10:00,Mostly Cloudy,18.40555555555555,18.40555555555555,0.54,19.0785,297,15.3594,0.544,1012.55
W208,2024-03-01 17:15:00,Partly Cloudy,17.82222222222222,17.82222222222222,0.59,17.5973,319,11.27,0.585,1012.03
W209,2024-03-01 17:20:00,Partly Cloudy,17.31111111111111,17.31111111111111,0.57,20.3343,310,11.27,0.59,1011.81
W210,2024-03-01 17:25:00,Partly Cloudy,17.505555555555553,17.505555555555553,0.55,13.7172,316,11.4471,0.6,1011.33
W211,2024-03-01 17:30:00,Mostly Cloudy,17.266666666666666,17.266666666666666,0.54,14.3773,309,9.982,0.656,1011.2
